Name,Latitude,Longitude
Aguas Frias,6.232417585189172,-75.64848069925391
Aldea Pablo VI,6.287882915464203,-75.54179610560001
Alejandro Echavarría,6.237879578034664,-75.54560800731706
Alejandría,6.199803597644271,-75.56884703680922
Alfonso López,6.284451982450336,-75.57602744193694
Altamira,6.279789297562592,-75.58135367492025
Altavista,6.224302063588919,-75.60837565869438
Altavista Sectro Central,6.222436624978694,-75.62633149967068
Altos del Poblado,6.211756370912036,-75.55212939605889
Andalucía,6.298029570968562,-75.55496566218982
Antonio Nariño,6.259097819319609,-75.62137384770338
Aranjuez,6.280727832307005,-75.56083598335859
Asomadera No.1,6.2289909665272525,-75.56320662508855
Asomadera No.2,6.219794842395759,-75.56231200433002
Asomadera No.3,6.219163545279329,-75.55865953371239
Astorga,6.209975754439693,-75.57347099620851
Aures No.1,6.2874656754816245,-75.5945658998848
Aures No.2,6.291967731284695,-75.59050811602403
B. Cerro El Volador,6.272151632454691,-75.58086110910854
Barrio Caycedo,6.242871887376718,-75.55421140210282
Barrio Colombia,6.2273303451821125,-75.57275832895807
Barrio Colón,6.242653953438415,-75.5686924135218
Barrio Cristóbal,6.247804026508135,-75.60895883317725
Barrios de Jesús,6.229908407273603,-75.53677963288382
Barro Blanco,6.241835103546348,-75.48097414533991
Batallón Cuarta Brigada,6.263210671903207,-75.59203996968931
Batallón Girardot,6.2602254655136385,-75.54656968662074
Belalcázar,6.295854166368399,-75.56434290732632
Belencito,6.248388227937273,-75.6173566501044
Bello Horizonte,6.282606220470707,-75.58946620968389
Belén,6.232513175771371,-75.5991676344197
Berlin,6.2857397162397275,-75.55555233570291
Bermejal-Los Alamos,6.280855484357515,-75.56466769372162
Betania,6.243916795854615,-75.61997234357159
Blanquizal,6.2748870482337775,-75.60561765297088
Bolivariana,6.246394889042791,-75.59067583499507
Bomboná No.1,6.243687666941202,-75.56205433149648
Bomboná No.2,6.228750277159681,-75.54489638350894
Boquerón,6.317836850356666,-75.65444378146508
Bosques de San Pablo,6.277366145277009,-75.58284477458933
Boston,6.247727407592524,-75.55876657722644
Boyacá,6.304262777836765,-75.5648359740346
Brasilia,6.274212676940874,-75.5595253076392
Buenos Aires,6.240653841197921,-75.55596752114556
Buga Patio Bonito,6.216735844773792,-75.64370800095642
Cabecera Urbana Corregimiento San Cristóbal,6.277850949896413,-75.63142648418052
Calasanz,6.262613085814189,-75.5986585669677
Calasanz Parte Alta,6.266229162543549,-75.60186226503333
Calle Nueva,6.241300036085523,-75.57285294990905
Campo Alegre,6.253513877394894,-75.61280306531499
Campo Amor,6.212910247476567,-75.58259793898408
Campo Valdés No.1,6.273408794289469,-75.55598512571495
Campo Valdés No.2,6.272971885635465,-75.5519415667468
Caribe,6.2705888032932355,-75.5732065951716
Carlos E. Restrepo,6.257837696917074,-75.58014933570563
Carpinelo,6.288892826701,-75.5386193512602
Castilla,6.290906500862886,-75.5721126131573
Castropol,6.219411093635709,-75.5673374484841
Cataluña,6.231254485190874,-75.55139249468509
Cementerio Universal,6.27877569365169,-75.57375499603064
Centro Administrativo,6.244129369334325,-75.57369855789743
Cerro Nutibara,6.238538344168805,-75.57992748958831
Cerro Nutibara,6.235088756572519,-75.5791369067858
Corazón de Jesús,6.249981454827398,-75.57714738437785
Cristo Rey,6.206193724047849,-75.58473842480136
Cuarta Brigada,6.261387440572275,-75.58795605776017
Cucaracho,6.280971783951311,-75.60246434483437
Córdoba,6.2806023478365,-75.5764691904634
Diego Echavarría,6.215613294586619,-75.59553112283487
Doce de Octubre No.1,6.306998441400381,-75.57922148933804
Doce de Octubre No.2,6.30056687132072,-75.57912234959778
Ecoparque Cerro El Volador,6.266566879839591,-75.58140702281715
Eduardo Santos,6.259252672917804,-75.6283806027201
Eduardo Santos,6.261947824452919,-75.62937502350225
El Astillero,6.2479222110070864,-75.67741414922298
El Carmelo,6.304763133406648,-75.6004059146002
El Castillo,6.190439027741383,-75.57235069295145
El Cerro,6.197511557561762,-75.48989096384365
El Chagualo,6.261557799320172,-75.57095109678362
El Compromiso,6.287841932857739,-75.54352162111357
El Corazón,6.247054822971174,-75.62701625848491
El Corazón El Morro,6.248031030691497,-75.64702705876932
El Danubio,6.253209801200354,-75.60834947823905
El Diamante,6.285376160418012,-75.58684925392747
El Diamante No.2,6.18423512196521,-75.57451007387756
El Jardín,6.203509148712644,-75.62476611875499
El LLano,6.298151106986518,-75.64680996699879
El LLano SE,6.197499902473106,-75.50111376811043
El Nogal-Los Almendros,6.237316603507921,-75.59663174516969
El Patio,6.281113960688365,-75.6646041413713
El Pesebre,6.272683078892319,-75.5991064415534
El Picacho,6.301359552843374,-75.5914602863212
El Pinal,6.2444481839954005,-75.54553943747297
El Placer,6.222796191497007,-75.4964363525733
El Plan,6.2038480250638885,-75.52103244917596
El Poblado,6.209236336815373,-75.56789562511935
El Pomar,6.268249059365426,-75.55237293359721
El Progreso,6.27431559374645,-75.57675903295333
El Raizal,6.26919740103021,-75.54551867129871
El Rincón,6.210408995962605,-75.60318423536575
El Rodeo,6.205776720682738,-75.59384666722673
El Salado,6.254950722208503,-75.62717465758008
El Salado,6.211320184428964,-75.66581470221028
El Salvador,6.237053370196725,-75.56189978532777
El Socorro,6.261007991834936,-75.6180467134763
El Tesoro,6.202989524595347,-75.55583920912665
El Triunfo,6.307672620901568,-75.58523946010062
El Uvito,6.290603630472904,-75.66244074309364
El Velódromo,6.25427499168149,-75.59552836333695
Enciso,6.249063239539273,-75.55067777433574
Estación Villa,6.255686896061082,-75.5691234191847
Estadio,6.259921271583234,-75.59414615531817
Facultad Veterinaria y Zootecnia U.de.A.,6.27202295913079,-75.58752907159374
Facultad de Minas,6.274461127331805,-75.58902804620442
Facultad de Minas U. Nacional,6.273631764814215,-75.58979322045165
Ferrini,6.269018529430255,-75.59692880823658
Florencia,6.310406268631225,-75.56686531748899
Florida Nueva,6.251392665199905,-75.59094414428915
Francisco Antonio Zea,6.285907530257831,-75.57353118675891
Fuente Clara,6.277476759264293,-75.6051057323104
Fátima,6.235548379678385,-75.5850620360539
Gerona,6.238336920908201,-75.55883282124492
Girardot,6.297561102926483,-75.56900336702392
Granada,6.230145327844433,-75.59329352630577
Granizal,6.29259961470604,-75.54645241958232
Guayabal,6.199038517983592,-75.5854475304057
Guayaquil,6.247587789127119,-75.57242384031318
Hospital San Vicente de Paúl,6.262886438584794,-75.56518092247418
